keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
screen time,55,False,64,243,5,335645989610|338215370307|336995391565|338320917676|334335784926,productivity,1778832945.054326
screen time control,55,False,62,242,4,335645989610|338215370307|338198674266|334335784926,productivity,1778832945.0543292
document scanner,55,False,81,233,2,5980452|334458121859,business,1778832205.717428
tape measure,55,False,49,193,2,280389744699|335969042893,utilities,1778833050.270321
tarot,55,False,59,241,2,280422884636|333889757967,lifestyle,1778833050.270324
mental health,55,False,76,236,1,280046956981,lifestyle,1778832639.39323
sleep sounds,55,False,77,233,1,266417844442,lifestyle,1778832968.439717
home workout,54,False,68,232,5,281015303312|280708135650|39942537961|338147689315|333801633226,health-and-fitness,1778832506.144247
photo retouch,54,False,78,223,4,337050396332|338351962682|336989865805|304369060311,graphics-and-design,1778832792.183088
ai eraser,54,False,68,231,2,337852557423|338351962682,graphics-and-design,1778831793.381969
couples app,54,False,72,237,1,281795024245,lifestyle,1778832097.652821
weight tracker,54,False,70,229,1,337281789022,health-and-fitness,1778833159.230052
background eraser,53,False,80,228,4,337050396332|337852557423|317637953541|336244594916,graphics-and-design,1778831933.1698072
psychic reading,53,False,59,214,3,281336005308|337352385605|280110894089,lifestyle,1778832865.939648
mood tracker,53,False,65,225,2,41565369835|280046956981,health-and-fitness,1778832666.666432
ai baby generator,53,False,61,241,1,335004630438,photo-and-video,1778831793.381952
baby generator,53,False,63,227,1,335004630438,photo-and-video,1778831904.4665768
bible verse,53,False,83,231,1,338201980548,reference,1778831933.169833
id scanner,53,False,15,222,1,5980452,business,1778832506.144268
budget planner,52,False,70,233,6,333823223169|40913510877|281584684358|9354933|280010505135,finance,1778832008.4337258
food scanner,52,False,65,234,2,337677459771|338274353530,health-and-fitness,1778832390.327905
pomodoro timer,52,False,62,235,2,338407302861|40035508212,productivity,1778832818.364762
diary,52,False,67,237,1,280046956981,lifestyle,1778832205.7173991
fitness app,52,False,80,233,1,333801633226,health-and-fitness,1778832333.8750348
memory games,52,False,71,226,1,39940687114,education,1778832610.840084
birthday countdown,51,False,59,227,1,280873663392,utilities,1778831955.390937
couples games,51,False,65,229,1,281795024245,lifestyle,1778832097.652825
mind games,51,False,90,238,1,39940687114,education,1778832639.3932889
